transaction_id,customer_id,customer_name,account_type,transaction_date,transaction_type,amount,merchant_category,merchant_name,country,flagged_by_system,account_balance_after,notes
TXN-100107,CUST-1019,Diana Mbeki,savings,2026-03-22,debit,421.85,other,Uber,US,False,7923.62,
TXN-100256,CUST-1018,Yuki Tanaka,checking,2026-03-22,debit,175.97,utilities,AT&T,US,False,47089.74,
TXN-100257,CUST-1018,Yuki Tanaka,checking,2026-03-22,credit,56.81,utilities,City Water Dept,US,False,47146.55,
TXN-100055,CUST-1011,Thomas Nguyen,savings,2026-03-23,debit,470.08,other,Shell Gas,US,False,35183.04,
TXN-100383,CUST-1018,Yuki Tanaka,checking,2026-03-23,credit,64.05,other,Starbucks,US,False,47134.56,
TXN-100008,CUST-1002,Maria Santos,checking,2026-03-23,credit,80.01,other,McDonald's,US,False,16420.9,
TXN-100010,CUST-1002,Maria Santos,checking,2026-03-23,credit,117.47,utilities,City Water Dept,US,False,16914.41,
TXN-100417,CUST-1022,Derek Williams,checking,2026-03-23,debit,18.36,utilities,Con Edison,US,False,7419.46,
TXN-100036,CUST-1008,Elena Petrov,investment,2026-03-23,debit,272.78,retail,Best Buy,US,False,14647.05,
TXN-100451,CUST-1015,Kevin Torres,savings,2026-03-23,debit,59.51,utilities,Duke Energy,US,False,9466.68,
TXN-100376,CUST-1022,Derek Williams,checking,2026-03-24,debit,286.07,other,Uber,US,False,7585.06,
TXN-100240,CUST-1009,Carlos Reyes,business,2026-03-24,debit,1598.89,wire_transfer,Domestic Wire Transfer,US,False,37390.92,
TXN-100484,CUST-1017,Brian O'Connor,checking,2026-03-24,credit,257.97,retail,Best Buy,US,False,37249.32,
TXN-100479,CUST-1023,Nadia Suleiman,checking,2026-03-24,credit,74.89,other,Uber,US,False,39962.89,
TXN-100317,CUST-1019,Diana Mbeki,savings,2026-03-24,debit,74.7,other,Shell Gas,US,False,7657.44,
TXN-100276,CUST-1016,Fatima Al-Rashid,savings,2026-03-24,debit,86.8,other,McDonald's,US,False,33078.61,
TXN-100158,CUST-1025,Christine Lee,checking,2026-03-24,debit,455.12,other,Starbucks,US,False,21282.04,
TXN-100434,CUST-1020,Samuel Green,savings,2026-03-24,credit,286.61,utilities,Con Edison,US,False,40953.17,
TXN-100056,CUST-1012,Angela Brooks,business,2026-03-25,debit,373.78,retail,Amazon,US,False,17130.43,
TXN-100336,CUST-1021,Olga Ivanova,savings,2026-03-25,debit,299.99,retail,Walmart,US,False,30215.1,
TXN-100289,CUST-1020,Samuel Green,savings,2026-03-25,credit,115.42,utilities,Duke Energy,US,False,41120.13,
TXN-100345,CUST-1015,Kevin Torres,savings,2026-03-26,debit,89.09,other,Shell Gas,US,False,9823.92,
TXN-100248,CUST-1012,Angela Brooks,business,2026-03-26,debit,832.38,crypto,Kraken,US,False,11608.22,
TXN-100153,CUST-1024,Paul Adeyemi,checking,2026-03-26,debit,280.48,retail,Walmart,US,False,42900.38,
TXN-100118,CUST-1020,Samuel Green,savings,2026-03-26,debit,391.12,retail,Amazon,US,False,41121.88,
TXN-100040,CUST-1008,Elena Petrov,investment,2026-03-27,credit,452.2,retail,Best Buy,US,False,15209.66,
TXN-100086,CUST-1016,Fatima Al-Rashid,savings,2026-03-27,credit,398.93,other,Starbucks,US,False,33134.66,
TXN-100423,CUST-1023,Nadia Suleiman,checking,2026-03-27,debit,177.14,retail,Costco,US,False,40205.44,
TXN-100242,CUST-1010,Susan Park,checking,2026-03-27,debit,1287.81,gambling,PokerStars,US,False,34605.95,
TXN-100082,CUST-1016,Fatima Al-Rashid,savings,2026-03-28,credit,341.89,other,Uber,US,False,32509.56,
TXN-100443,CUST-1017,Brian O'Connor,checking,2026-03-28,debit,274.4,other,CVS Pharmacy,US,False,37137.1,
TXN-100444,CUST-1016,Fatima Al-Rashid,savings,2026-03-29,credit,237.45,retail,Home Depot,US,False,33755.63,
TXN-100448,CUST-1016,Fatima Al-Rashid,savings,2026-03-29,credit,196.24,other,Starbucks,US,False,33951.87,
TXN-100369,CUST-1025,Christine Lee,checking,2026-03-29,credit,105.02,utilities,Duke Energy,US,False,21773.73,
TXN-100206,CUST-1002,Maria Santos,checking,2026-03-30,debit,7531.21,crypto,Crypto.com,US,False,-45942.0,
TXN-100413,CUST-1014,Rachel Kim,savings,2026-03-30,debit,173.23,utilities,Con Edison,US,False,7698.35,
TXN-100488,CUST-1018,Yuki Tanaka,checking,2026-03-30,debit,262.72,utilities,City Water Dept,US,False,47016.41,
TXN-100449,CUST-1025,Christine Lee,checking,2026-03-30,credit,172.5,utilities,Comcast,US,False,22298.77,
TXN-100487,CUST-1021,Olga Ivanova,savings,2026-03-30,debit,163.01,utilities,AT&T,US,False,30036.74,
TXN-100254,CUST-1017,Brian O'Connor,checking,2026-03-30,credit,69.61,other,Uber,US,False,37700.65,
TXN-100140,CUST-1023,Nadia Suleiman,checking,2026-03-30,credit,490.45,other,Shell Gas,US,False,39997.88,
TXN-100081,CUST-1015,Kevin Torres,savings,2026-03-30,credit,281.66,other,CVS Pharmacy,US,False,10168.52,
TXN-100316,CUST-1016,Fatima Al-Rashid,savings,2026-03-30,debit,161.53,retail,Amazon,US,False,33297.06,
TXN-100120,CUST-1020,Samuel Green,savings,2026-03-31,credit,471.32,utilities,AT&T,US,False,41128.05,
TXN-100343,CUST-1022,Derek Williams,checking,2026-03-31,credit,290.05,other,Uber,US,False,8406.98,
TXN-100365,CUST-1014,Rachel Kim,savings,2026-03-31,debit,17.92,utilities,AT&T,US,False,8156.4,
TXN-100250,CUST-1025,Christine Lee,checking,2026-03-31,credit,254.36,utilities,Duke Energy,US,False,21835.11,
TXN-100441,CUST-1020,Samuel Green,savings,2026-03-31,credit,145.85,other,Shell Gas,US,False,41099.02,
TXN-100496,CUST-1014,Rachel Kim,savings,2026-03-31,credit,92.08,utilities,Con Edison,US,False,7953.91,
TXN-100416,CUST-1019,Diana Mbeki,savings,2026-03-31,credit,227.71,utilities,City Water Dept,US,False,8078.01,
TXN-100207,CUST-1002,Maria Santos,checking,2026-04-01,debit,6477.76,crypto,Binance US,US,False,-52419.76,
TXN-100402,CUST-1016,Fatima Al-Rashid,savings,2026-04-01,credit,147.85,utilities,Con Edison,US,False,33518.18,
TXN-100102,CUST-1018,Yuki Tanaka,checking,2026-04-01,credit,213.73,other,CVS Pharmacy,US,False,48869.17,
TXN-100057,CUST-1012,Angela Brooks,business,2026-04-01,debit,361.63,utilities,Con Edison,US,False,16768.8,
TXN-100048,CUST-1010,Susan Park,checking,2026-04-01,credit,468.01,other,Shell Gas,US,False,39092.99,
TXN-100051,CUST-1011,Thomas Nguyen,savings,2026-04-02,debit,45.9,utilities,City Water Dept,US,False,36370.37,
TXN-100335,CUST-1019,Diana Mbeki,savings,2026-04-02,credit,96.12,retail,Amazon,US,False,7796.6,
TXN-100307,CUST-1014,Rachel Kim,savings,2026-04-02,debit,93.92,retail,Target,US,False,8961.39,
TXN-100382,CUST-1015,Kevin Torres,savings,2026-04-02,credit,212.69,utilities,City Water Dept,US,False,9743.64,
TXN-100315,CUST-1015,Kevin Torres,savings,2026-04-03,credit,225.01,utilities,Con Edison,US,False,10099.16,
TXN-100070,CUST-1014,Rachel Kim,savings,2026-04-03,debit,430.71,utilities,Comcast,US,False,8978.81,
TXN-100456,CUST-1025,Christine Lee,checking,2026-04-03,credit,113.43,retail,Target,US,False,22412.2,
TXN-100471,CUST-1016,Fatima Al-Rashid,savings,2026-04-03,credit,161.01,other,Starbucks,US,False,33973.66,
TXN-100495,CUST-1019,Diana Mbeki,savings,2026-04-03,credit,18.49,utilities,Comcast,US,False,8495.53,
TXN-100026,CUST-1006,Lisa Kowalski,savings,2026-04-03,credit,69.29,utilities,AT&T,US,False,15539.03,
TXN-100208,CUST-1002,Maria Santos,checking,2026-04-03,debit,7184.16,crypto,Kraken,US,False,-59603.92,
TXN-100235,CUST-1008,Elena Petrov,investment,2026-04-04,debit,3860.45,atm,Citibank ATM,US,False,-8601.03,
TXN-100309,CUST-1016,Fatima Al-Rashid,savings,2026-04-04,credit,162.11,retail,Costco,US,False,33458.59,
TXN-100275,CUST-1015,Kevin Torres,savings,2026-04-04,debit,177.98,other,Shell Gas,US,False,9734.75,
TXN-100218,CUST-1003,David Chen,business,2026-04-04,withdrawal,8136.08,atm,Citibank ATM,US,False,26485.34,miscellaneous
TXN-100027,CUST-1006,Lisa Kowalski,savings,2026-04-04,debit,298.27,utilities,City Water Dept,US,False,15240.76,
TXN-100071,CUST-1014,Rachel Kim,savings,2026-04-04,credit,159.54,utilities,Comcast,US,False,9138.35,
TXN-100287,CUST-1024,Paul Adeyemi,checking,2026-04-04,debit,131.87,other,CVS Pharmacy,US,False,42768.51,
TXN-100245,CUST-1011,Thomas Nguyen,savings,2026-04-04,debit,2575.17,atm,BofA ATM,US,False,24711.44,
TXN-100087,CUST-1016,Fatima Al-Rashid,savings,2026-04-05,credit,55.76,utilities,Con Edison,US,False,33190.42,
TXN-100353,CUST-1022,Derek Williams,checking,2026-04-05,debit,233.97,utilities,Con Edison,US,False,8173.01,
TXN-100067,CUST-1014,Rachel Kim,savings,2026-04-05,debit,463.62,other,McDonald's,US,False,9528.1,
TXN-100270,CUST-1025,Christine Lee,checking,2026-04-05,debit,135.8,utilities,Con Edison,US,False,21738.73,
TXN-100377,CUST-1024,Paul Adeyemi,checking,2026-04-05,debit,42.24,utilities,Con Edison,US,False,42525.31,
TXN-100491,CUST-1021,Olga Ivanova,savings,2026-04-05,debit,122.01,retail,Costco,US,False,29914.73,
TXN-100234,CUST-1008,Elena Petrov,investment,2026-04-05,debit,3340.22,atm,BofA ATM,US,False,-4740.58,
TXN-100452,CUST-1019,Diana Mbeki,savings,2026-04-05,debit,81.93,retail,Best Buy,US,False,8072.96,
TXN-100209,CUST-1002,Maria Santos,checking,2026-04-05,debit,6636.05,crypto,Gemini Exchange,US,False,-66239.97,
TXN-100003,CUST-1001,James Okafor,business,2026-04-06,debit,271.73,other,McDonald's,US,False,6297.34,
TXN-100090,CUST-1017,Brian O'Connor,checking,2026-04-06,credit,252.24,retail,Target,US,False,38090.17,
TXN-100065,CUST-1013,Michael Osei,savings,2026-04-06,credit,112.94,retail,Home Depot,US,False,48074.48,
TXN-100394,CUST-1017,Brian O'Connor,checking,2026-04-07,credit,254.55,utilities,Comcast,US,False,37541.29,
TXN-100117,CUST-1020,Samuel Green,savings,2026-04-07,debit,237.87,other,Shell Gas,US,False,41513.0,
TXN-100137,CUST-1022,Derek Williams,checking,2026-04-07,credit,142.75,utilities,Comcast,US,False,7964.44,
TXN-100258,CUST-1019,Diana Mbeki,savings,2026-04-07,credit,249.99,other,CVS Pharmacy,US,False,7722.75,
TXN-100074,CUST-1015,Kevin Torres,savings,2026-04-08,debit,66.52,utilities,Comcast,US,False,9285.72,
TXN-100060,CUST-1012,Angela Brooks,business,2026-04-08,debit,322.19,utilities,Comcast,US,False,16996.04,
TXN-100422,CUST-1018,Yuki Tanaka,checking,2026-04-08,debit,181.09,other,Uber,US,False,46999.81,
TXN-100156,CUST-1025,Christine Lee,checking,2026-04-08,debit,346.82,utilities,City Water Dept,US,False,21955.48,
TXN-100130,CUST-1022,Derek Williams,checking,2026-04-08,credit,113.94,retail,Amazon,US,False,7176.04,
TXN-100105,CUST-1018,Yuki Tanaka,checking,2026-04-09,debit,249.23,utilities,Duke Energy,US,False,47718.2,
TXN-100211,CUST-1005,Robert Mwangi,business,2026-04-09,debit,6923.3,crypto,Kraken,US,False,-24661.49,
TXN-100210,CUST-1002,Maria Santos,checking,2026-04-09,transfer,18398.75,wire_transfer,SWIFT Transfer,US,False,-84638.72,international wire post crypto
TXN-100405,CUST-1015,Kevin Torres,savings,2026-04-09,debit,142.61,utilities,Duke Energy,US,False,9526.19,
TXN-100430,CUST-1023,Nadia Suleiman,checking,2026-04-10,debit,287.41,utilities,City Water Dept,US,False,39704.83,
TXN-100269,CUST-1021,Olga Ivanova,savings,2026-04-10,credit,282.02,other,Starbucks,US,False,30163.47,
TXN-100072,CUST-1014,Rachel Kim,savings,2026-04-10,debit,205.25,retail,Walmart,US,False,8933.1,
TXN-100380,CUST-1022,Derek Williams,checking,2026-04-10,credit,97.74,utilities,Comcast,US,False,7682.8,
TXN-100295,CUST-1015,Kevin Torres,savings,2026-04-10,credit,38.89,utilities,City Water Dept,US,False,9925.59,
TXN-100097,CUST-1017,Brian O'Connor,checking,2026-04-10,debit,421.53,utilities,City Water Dept,US,False,37631.04,
TXN-100212,CUST-1005,Robert Mwangi,business,2026-04-11,debit,6356.31,crypto,Crypto.com,US,False,-31017.8,
TXN-100342,CUST-1019,Diana Mbeki,savings,2026-04-11,credit,141.2,other,CVS Pharmacy,US,False,7937.8,
TXN-100323,CUST-1021,Olga Ivanova,savings,2026-04-11,debit,21.78,utilities,AT&T,US,False,30627.44,
TXN-100328,CUST-1021,Olga Ivanova,savings,2026-04-11,debit,112.35,other,CVS Pharmacy,US,False,30515.09,
TXN-100155,CUST-1025,Christine Lee,checking,2026-04-11,debit,151.17,retail,Home Depot,US,False,22302.3,
TXN-100042,CUST-1009,Carlos Reyes,business,2026-04-12,credit,85.85,utilities,Comcast,US,False,41650.17,
TXN-100385,CUST-1024,Paul Adeyemi,checking,2026-04-12,debit,167.25,utilities,Con Edison,US,False,42358.06,
TXN-100356,CUST-1022,Derek Williams,checking,2026-04-12,debit,216.97,other,CVS Pharmacy,US,False,7956.04,
TXN-100239,CUST-1009,Carlos Reyes,business,2026-04-12,debit,2113.09,wire_transfer,Domestic Wire Transfer,US,False,38989.81,
TXN-100121,CUST-1020,Samuel Green,savings,2026-04-13,debit,59.93,other,Uber,US,False,41068.12,
TXN-100104,CUST-1018,Yuki Tanaka,checking,2026-04-13,debit,471.94,utilities,Duke Energy,US,False,47967.43,
TXN-100400,CUST-1024,Paul Adeyemi,checking,2026-04-13,credit,194.36,other,CVS Pharmacy,US,False,42781.69,
TXN-100213,CUST-1005,Robert Mwangi,business,2026-04-13,debit,5479.54,crypto,Gemini Exchange,US,False,-36497.34,
TXN-100395,CUST-1024,Paul Adeyemi,checking,2026-04-13,credit,41.93,other,Uber,US,False,42399.99,
TXN-100420,CUST-1023,Nadia Suleiman,checking,2026-04-13,credit,214.08,utilities,Duke Energy,US,False,40382.58,
TXN-100064,CUST-1013,Michael Osei,savings,2026-04-14,credit,72.45,retail,Amazon,US,False,47961.54,
TXN-100297,CUST-1014,Rachel Kim,savings,2026-04-14,credit,212.3,retail,Amazon,US,False,9055.31,
TXN-100494,CUST-1015,Kevin Torres,savings,2026-04-15,credit,229.68,other,McDonald's,US,False,9258.86,
TXN-100482,CUST-1024,Paul Adeyemi,checking,2026-04-15,credit,236.81,other,CVS Pharmacy,US,False,43032.53,
TXN-100390,CUST-1020,Samuel Green,savings,2026-04-15,debit,41.97,utilities,AT&T,US,False,40483.23,
TXN-100403,CUST-1023,Nadia Suleiman,checking,2026-04-15,credit,259.14,retail,Home Depot,US,False,40168.5,
TXN-100428,CUST-1022,Derek Williams,checking,2026-04-15,credit,160.02,utilities,Comcast,US,False,7579.48,
TXN-100232,CUST-1007,Ahmed Hassan,checking,2026-04-15,debit,3320.6,crypto,Gemini Exchange,US,False,-8564.85,
TXN-100214,CUST-1005,Robert Mwangi,business,2026-04-15,debit,7191.56,crypto,Gemini Exchange,US,False,-43688.9,
TXN-100393,CUST-1022,Derek Williams,checking,2026-04-16,credit,53.57,retail,Home Depot,US,False,7736.37,
TXN-100372,CUST-1022,Derek Williams,checking,2026-04-16,credit,35.27,utilities,Con Edison,US,False,7871.13,
TXN-100080,CUST-1015,Kevin Torres,savings,2026-04-16,credit,336.78,other,CVS Pharmacy,US,False,9886.86,
TXN-100439,CUST-1024,Paul Adeyemi,checking,2026-04-17,debit,34.56,retail,Home Depot,US,False,42795.72,
TXN-100486,CUST-1016,Fatima Al-Rashid,savings,2026-04-17,debit,80.22,utilities,AT&T,US,False,33893.44,
TXN-100029,CUST-1006,Lisa Kowalski,savings,2026-04-17,debit,453.66,retail,Walmart,US,False,14742.31,
TXN-100068,CUST-1014,Rachel Kim,savings,2026-04-17,credit,22.15,retail,Best Buy,US,False,9550.25,
TXN-100489,CUST-1025,Christine Lee,checking,2026-04-17,debit,146.42,other,Shell Gas,US,False,22514.82,
TXN-100333,CUST-1018,Yuki Tanaka,checking,2026-04-17,credit,194.83,other,McDonald's,US,False,47306.02,
TXN-100123,CUST-1021,Olga Ivanova,savings,2026-04-18,debit,257.92,utilities,AT&T,US,False,30542.8,
TXN-100326,CUST-1016,Fatima Al-Rashid,savings,2026-04-18,credit,35.53,retail,Home Depot,US,False,33331.13,
TXN-100229,CUST-1006,Lisa Kowalski,savings,2026-04-18,debit,3304.67,gambling,Caesars Online,US,False,-2925.67,
TXN-100113,CUST-1019,Diana Mbeki,savings,2026-04-19,debit,499.95,other,McDonald's,US,False,7472.76,
TXN-100432,CUST-1025,Christine Lee,checking,2026-04-19,credit,98.53,other,Uber,US,False,22149.93,
TXN-100215,CUST-1005,Robert Mwangi,business,2026-04-19,transfer,20385.81,wire_transfer,Domestic Wire Transfer,US,False,-64074.71,international wire post crypto
TXN-100466,CUST-1017,Brian O'Connor,checking,2026-04-19,debit,18.36,other,Starbucks,US,False,36905.18,
TXN-100470,CUST-1015,Kevin Torres,savings,2026-04-19,debit,197.79,other,Starbucks,US,False,9029.18,
TXN-100473,CUST-1022,Derek Williams,checking,2026-04-19,debit,78.02,utilities,Comcast,US,False,7112.29,
TXN-100293,CUST-1025,Christine Lee,checking,2026-04-20,credit,182.12,retail,Walmart,US,False,22029.08,
TXN-100362,CUST-1023,Nadia Suleiman,checking,2026-04-20,credit,44.36,other,Uber,US,False,40005.6,
TXN-100498,CUST-1018,Yuki Tanaka,checking,2026-04-20,credit,140.94,utilities,Comcast,US,False,47313.63,
TXN-100251,CUST-1021,Olga Ivanova,savings,2026-04-20,debit,117.5,retail,Costco,US,False,29881.45,
TXN-100001,CUST-1001,James Okafor,business,2026-04-20,credit,89.7,utilities,Comcast,US,False,6215.18,
TXN-100033,CUST-1007,Ahmed Hassan,checking,2026-04-20,debit,332.9,retail,Best Buy,US,False,29164.23,
TXN-100358,CUST-1024,Paul Adeyemi,checking,2026-04-21,debit,159.43,other,Starbucks,US,False,42690.72,
TXN-100313,CUST-1019,Diana Mbeki,savings,2026-04-21,credit,250.45,retail,Walmart,US,False,7732.14,
TXN-100124,CUST-1021,Olga Ivanova,savings,2026-04-21,credit,61.71,utilities,Duke Energy,US,False,30604.51,
TXN-100339,CUST-1016,Fatima Al-Rashid,savings,2026-04-21,credit,17.89,other,McDonald's,US,False,33349.02,
TXN-100280,CUST-1025,Christine Lee,checking,2026-04-21,credit,137.24,retail,Costco,US,False,21875.97,
TXN-100344,CUST-1016,Fatima Al-Rashid,savings,2026-04-22,debit,194.15,utilities,City Water Dept,US,False,33154.87,
TXN-100348,CUST-1019,Diana Mbeki,savings,2026-04-22,credit,298.38,retail,Target,US,False,8236.18,
TXN-100135,CUST-1022,Derek Williams,checking,2026-04-22,credit,335.34,retail,Best Buy,US,False,7603.19,
TXN-100469,CUST-1019,Diana Mbeki,savings,2026-04-23,credit,261.54,utilities,Duke Energy,US,False,8334.5,
TXN-100110,CUST-1019,Diana Mbeki,savings,2026-04-23,debit,34.64,utilities,Con Edison,US,False,7383.45,
TXN-100243,CUST-1011,Thomas Nguyen,savings,2026-04-23,debit,3288.7,atm,Wells Fargo ATM,US,False,31894.34,
TXN-100111,CUST-1019,Diana Mbeki,savings,2026-04-23,credit,170.15,retail,Amazon,US,False,7553.6,
TXN-100149,CUST-1024,Paul Adeyemi,checking,2026-04-23,debit,390.09,other,CVS Pharmacy,US,False,43197.78,
TXN-100330,CUST-1015,Kevin Torres,savings,2026-04-24,debit,169.6,utilities,Con Edison,US,False,9913.01,
TXN-100381,CUST-1015,Kevin Torres,savings,2026-04-24,debit,152.22,retail,Costco,US,False,9530.95,
TXN-100221,CUST-1003,David Chen,business,2026-04-24,withdrawal,8930.48,atm,Wells Fargo ATM,US,False,4165.22,miscellaneous
TXN-100406,CUST-1017,Brian O'Connor,checking,2026-04-24,debit,19.93,retail,Costco,US,False,37614.1,
TXN-100409,CUST-1021,Olga Ivanova,savings,2026-04-25,credit,11.84,utilities,City Water Dept,US,False,30604.78,
